user_id,skill,skill level
11010,C++,10
11011,C#,7
11100,C++,9
11101,C#,5
11111,C++,10
100000,C#,8
1,C++,1
100010,C#,4
100100,C++,6
100101,C#,6
100110,C++,6
100111,C#,7
101000,C++,7
101001,C#,7
101010,C++,7
101011,C#,8
101100,C++,8
101101,C#,8
101110,C++,8
111111,C#,8
110000,C++,8
110001,C#,8
110001,C++,9
110010,C#,9
110011,C++,1
2335544545,C#,1
1101011,C++,1
1101100,C#,1
1101101,C++,10
1101110,C#,6
1101111,C++,7
22,C#,5
10,C++,4
11,C#,3
100,C++,2
101,C#,1
110,C++,2
111,C#,3
1120,C++,4
1121,C#,8
1112,C++,9
21111,C#,1
12222,C++,3
12221,C#,5
12212,C++,8
12211,C#,7
13122,C++,3
13121,C#,4
12113,C++,5
14111,C#,6
11555,C++,7
11663,C#,8
12344554,C++,2
9.99922E+12,C#,3
9.9992E+11,C++,4
99992012888,C#,5
999201888,C++,6
9999918999,C#,7
99999179,C++,8
9999169999,C#,9
9999159999,C++,0
9999914999,C#,4
1E+12,C++,2
99991399999,C#,1
99999912999,C++,3
99911999,C#,5
999910999,C++,6
999919999,C#,7
99999929999,C++,8
99999939999,C#,9
999949999,C++,0
9999959999,C#,5
9999969999,C++,3
999979999,C#,2
9999998999,C++,4
9999991,C#,6
999992,C++,7
99993,C#,6
999994,C++,4
999995,C#,2
9999997,C++,1
99998,C#,2
9999998,C++,4
9999999,C#,6